wpindex,istrue,frame,command,param1,param2,param3,param4,lat,long,alt,autocontinue
0,1,0,16,0,0,0,0,36.162151,-96.835559,300.100006,1
1,0,3,16,0,0,0,0,36.1653194,-96.8322515,40,1
2,0,3,16,0,0,0,0,36.1656312,-96.8304491,40,1
3,0,3,16,0,0,0,0,36.1653887,-96.8293762,40,1
4,0,3,16,0,0,0,0,36.1670517,-96.8285608,40,1
5,0,3,16,0,0,0,0,36.1672249,-96.826973,40,1
6,0,3,16,0,0,0,0,36.1689225,-96.8275309,40,1
7,0,3,16,0,0,0,0,36.1694422,-96.8291616,40,1
8,0,3,16,0,0,0,0,36.1693036,-96.8303204,40,1
9,0,3,16,0,0,0,0,36.1690265,-96.8312216,40,1
10,0,3,16,0,0,0,0,36.1682296,-96.831522,40,1
11,0,3,16,0,0,0,0,36.1680911,-96.8328953,40,1
12,0,3,16,0,0,0,0,36.1672942,-96.833024,40,1
13,0,3,16,0,0,0,0,36.1670863,-96.8343544,40,1
14,0,3,16,0,0,0,0,36.166532,-96.8352127,40,1
15,0,3,16,0,0,0,0,36.1660123,-96.8358994,40,1
16,0,3,16,0,0,0,0,36.1661163,-96.8374443,40,1
17,0,3,16,0,0,0,0,36.1650769,-96.8374443,40,1
18,0,3,16,0,0,0,0,36.1644532,-96.8381739,40,1
19,0,3,16,0,0,0,0,36.163691,-96.8381739,40,1
20,0,3,16,0,0,0,0,36.1630674,-96.8378735,40,1
21,0,3,16,0,0,0,0,36.1622358,-96.838603,40,1
22,0,3,16,0,0,0,0,36.1617161,-96.8377447,40,1
23,0,3,16,0,0,0,0,36.1611964,-96.8372726,40,1
24,0,3,16,0,0,0,0,36.1608499,-96.8364573,40,1
25,0,3,16,0,0,0,0,36.1605381,-96.8358135,40,1
26,0,3,16,0,0,0,0,36.1610578,-96.8346548,40,1
27,0,3,16,0,0,0,0,36.1608499,-96.8337965,40,1
28,0,3,16,0,0,0,0,36.1602955,-96.8336678,40,1
29,0,3,16,0,0,0,0,36.1609885,-96.8324232,40,1
30,0,3,16,0,0,0,0,36.1612657,-96.8308353,40,1
31,0,3,16,0,0,0,0,36.1622358,-96.831243,40,1
32,0,3,16,0,0,0,0,36.1627036,-96.8319082,40,1
33,0,3,16,0,0,0,0,36.1622878,-96.8328094,40,1
34,0,3,16,0,0,0,0,36.1620799,-96.8332386,40,1
35,0,3,16,0,0,0,0,36.1620279,-96.8338394,40,1
36,0,3,16,0,0,0,0,36.1626169,-96.8338394,40,1
37,0,3,16,0,0,0,0,36.1627122,-96.8335605,40,1
38,0,3,16,0,0,0,0,36.1631713,-96.8333244,40,1
39,0,3,16,0,0,0,0,36.1633792,-96.8336356,40,1
40,0,3,16,0,0,0,0,36.1637603,-96.8341613,40,1
41,0,3,16,0,0,0,0,36.1639162,-96.8347406,40,1
42,0,3,16,0,0,0,0,36.1642367,-96.8350518,40,1
43,0,3,16,0,0,0,0,36.1645225,-96.8343008,40,1
44,0,3,16,0,0,0,0,36.1644532,-96.8340969,40,1
45,0,3,16,0,0,0,0,36.1645485,-96.8337536,40,1
46,0,3,16,0,0,0,0,36.1646265,-96.8331099,40,1
47,0,3,16,0,0,0,0,36.1652068,-96.8336892,40,1
48,0,3,16,0,0,0,0,36.1652414,-96.8343329,40,1
49,0,3,16,0,0,0,0,36.1650509,-96.8346334,40,1
50,0,3,16,0,0,0,0,36.1650336,-96.8351376,40,1
51,0,3,16,0,0,0,0,36.164895,-96.8353844,40,1
52,0,3,16,0,0,0,0,36.1645832,-96.8354917,40,1
53,0,3,16,0,0,0,0,36.1642107,-96.835556,40,1
54,0,3,16,0,0,0,0,36.1638989,-96.835556,40,1
55,0,3,16,0,0,0,0,36.1635351,-96.835556,40,1
56,0,3,16,0,0,0,0,36.1632839,-96.835556,40,1
57,0,3,16,0,0,0,0,36.1628595,-96.8355775,40,1
